PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN
1630552,Jalen Johnson,ATL,42,35.5
1630700,Dyson Daniels,ATL,44,34.1
1629638,Nickeil Alexander-Walker,ATL,44,32.9
1630168,Onyeka Okongwu,ATL,44,32.0
203468,CJ McCollum,ATL,41,30.2
1642258,Zaccharie Risacher,ATL,36,24.6
204001,Kristaps Porziņģis,ATL,17,24.3
1630249,Vít Krejčí,ATL,42,23.4
1628379,Luke Kennard,ATL,40,20.4
1630557,Corey Kispert,ATL,25,19.2
1631243,Mouhamed Gueye,ATL,44,16.1
1631132,Christian Koloko,ATL,14,15.2
1630811,Keaton Wallace,ATL,36,12.2
1642484,RayJ Dennis,ATL,15,11.8
1642854,Asa Newell,ATL,33,10.6
1629008,Michael Porter Jr.,BKN,34,33.0
1629651,Nic Claxton,BKN,40,29.6
1641730,Noah Clowney,BKN,42,28.4
1629611,Terance Mann,BKN,38,25.4
1630560,Cam Thomas,BKN,19,24.6
1642856,Egor Dëmin,BKN,37,24.6
1630533,Ziaire Williams,BKN,31,22.5
1631213,Tyrese Martin,BKN,34,19.3
1642962,Drake Powell,BKN,31,19.2
1642874,Danny Wolf,BKN,28,19.1
1630549,Day'Ron Sharpe,BKN,40,18.1
1642849,Nolan Traore,BKN,22,17.8
1642879,Ben Saraf,BKN,12,16.9
1630592,Jalen Wilson,BKN,29,13.7
1628401,Derrick White,BOS,42,34.1
1627759,Jaylen Brown,BOS,40,34.1
1630202,Payton Pritchard,BOS,42,32.7
1629674,Neemias Queta,BOS,41,24.9
1629014,Anfernee Simons,BOS,43,24.2
1630573,Sam Hauser,BOS,42,23.1
1641775,Jordan Walsh,BOS,38,19.1
1631169,Josh Minott,BOS,29,17.6
1630568,Luka Garza,BOS,35,16.5
1642864,Hugo González,BOS,38,14.9
1631248,Baylor Scheierman,BOS,38,12.3
1628449,Chris Boucher,BOS,8,11.3
1628970,Miles Bridges,CHA,43,32.9
1642851,Kon Knueppel,CHA,43,32.3
1641706,Brandon Miller,CHA,27,30.1
1630163,LaMelo Ball,CHA,34,27.3
1642883,Sion James,CHA,44,25.3
1631217,Moussa Diabaté,CHA,40,24.6
1641750,Ryan Kalkbrenner,CHA,32,24.4
1629012,Collin Sexton,CHA,35,23.3
1630544,Tre Mann,CHA,28,16.9
1629684,Grant Williams,CHA,5,16.7
1642275,Tidjane Salaün,CHA,28,16.3
1630182,Josh Green,CHA,20,15.9
1642354,KJ Simpson,CHA,14,15.9
1642862,Liam McNeeley,CHA,27,12.4
1641809,Drew Peterson,CHA,6,10.7
1641790,PJ Hall,CHA,15,10.3
1630581,Josh Giddey,CHI,30,32.8
202696,Nikola Vučević,CHI,42,30.7
1629632,Coby White,CHI,22,28.5
1641824,Matas Buzelis,CHI,43,27.9
1630200,Tre Jones,CHI,37,26.8
1630245,Ayo Dosunmu,CHI,37,26.1
1630171,Isaac Okoro,CHI,35,25.0
1628989,Kevin Huerter,CHI,38,24.2
1630188,Jalen Smith,CHI,36,19.2
1630172,Patrick Williams,CHI,39,18.4
1628380,Zach Collins,CHI,10,18.4
1628975,Jevon Carter,CHI,21,11.1
1631207,Dalen Terry,CHI,28,10.1
1628378,Donovan Mitchell,CLE,41,34.1
1630596,Evan Mobley,CLE,39,33.3
1629636,Darius Garland,CLE,26,30.5
1642281,Jaylon Tyson,CLE,40,27.5
1628386,Jarrett Allen,CLE,33,27.0
1629631,De'Andre Hunter,CLE,40,26.5
1630241,Sam Merrill,CLE,24,25.8
1629731,Dean Wade,CLE,36,22.6
1628366,Lonzo Ball,CLE,30,21.2
1641854,Craig Porter Jr.,CLE,40,17.7
1641772,Nae'Qwan Tomlin,CLE,34,16.1
1626204,Larry Nance Jr.,CLE,18,14.3
1642878,Tyrese Proctor,CLE,31,10.7
1642843,Cooper Flagg,DAL,41,33.9
1629023,P.J. Washington,DAL,31,31.4
203076,Anthony Davis,DAL,20,31.3
1631108,Max Christie,DAL,40,29.1
1630230,Naji Marshall,DAL,44,28.9
202691,Klay Thompson,DAL,41,22.1
1630314,Brandon Williams,DAL,38,22.0
1629655,Daniel Gafford,DAL,29,20.8
1642948,Ryan Nembhard,DAL,31,20.6
1626156,D'Angelo Russell,DAL,26,19.0
1630526,Jeremiah Robinson-Earl,DAL,20,17.7
1641726,Dereck Lively II,DAL,7,16.5
203939,Dwight Powell,DAL,30,14.2
1630702,Jaden Hardy,DAL,31,12.3
1630619,Moussa Cisse,DAL,25,11.8
1628997,Caleb Martin,DAL,37,11.6
1627750,Jamal Murray,DEN,40,35.4
203999,Nikola Jokić,DEN,32,34.6
1629661,Cameron Johnson,DEN,28,30.6
1631212,Peyton Watson,DEN,42,29.7
1631128,Christian Braun,DEN,14,28.9
203932,Aaron Gordon,DEN,21,28.2
203501,Tim Hardaway Jr.,DEN,43,27.4
1628971,Bruce Brown,DEN,44,24.5
1642461,Spencer Jones,DEN,39,23.0
1629618,Jalen Pickett,DEN,29,17.9
1641747,DaRon Holmes II,DEN,11,14.0
202685,Jonas Valančiūnas,DEN,33,13.3
1630192,Zeke Nnaji,DEN,31,13.1
1630595,Cade Cunningham,DET,36,35.5
1629130,Duncan Robinson,DET,40,28.9
1631105,Jalen Duren,DET,35,28.4
202699,Tobias Harris,DET,27,27.5
1641709,Ausar Thompson,DET,38,26.0
1630191,Isaiah Stewart,DET,38,23.5
1641842,Ronald Holland II,DET,40,20.8
1627747,Caris LeVert,DET,31,19.7
1629750,Javonte Green,DET,42,19.3
1631093,Jaden Ivey,DET,27,17.1
1642450,Daniss Jenkins,DET,34,16.3
1630194,Paul Reed,DET,31,12.2
1642449,Tolu Smith,DET,5,10.9
1631204,Marcus Sasser,DET,12,10.1
201939,Stephen Curry,GSW,35,31.6
